"Date","Site.Name","COUNTY","meanlat","meanlong","month","year","PM2.5","Ozone"
"2018-01-02","Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,43,NA
"2018-01-02","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,26,NA
"2018-01-04","Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,19,NA
"2018-01-04","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,30
"2018-01-05","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,37,NA
"2018-01-05","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,31,NA
"2018-01-05","Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,23,NA
"2018-01-05","West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,32,NA
"2018-01-07","Millbrook School","Wake",35.856111,-78.574167,1,2018,48,NA
"2018-01-08","Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,40,NA
"2018-01-09","Leggett","Edgecombe",35.988278,-77.5843,1,2018,19,NA
"2018-01-09","Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,30
"2018-01-10","Bryson City","Swain",35.434767,-83.442133,1,2018,56,NA
"2018-01-11","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,36,NA
"2018-01-11","Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,56,NA
"2018-01-11","Linville Falls","Avery",35.972347,-81.933072,1,2018,3,NA
"2018-01-11","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,31,NA
"2018-01-15","Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,44,NA
"2018-01-17","Castle Hayne","New Hanover",34.364167,-77.838611,1,2018,24,NA
"2018-01-17","Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,51,NA
"2018-01-17","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,28
"2018-01-17","Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,41,NA
"2018-01-18","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,40,NA
"2018-01-18","Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,34,NA
"2018-01-18","West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,50,NA
"2018-01-20","Millbrook School","Wake",35.856111,-78.574167,1,2018,55,NA
"2018-01-22","Leggett","Edgecombe",35.988278,-77.5843,1,2018,40,NA
"2018-01-23","Bryson City","Swain",35.434767,-83.442133,1,2018,17,NA
"2018-01-24","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,22,NA
"2018-01-24","Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2018,15,NA
"2018-01-24","Millbrook School","Wake",35.856111,-78.574167,1,2018,NA,31
"2018-01-24","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2018,9,NA
"2018-01-28","Durham Armory","Durham",36.0329550008979,-78.904037,1,2018,25,NA
"2018-01-31","Clemmons Middle","Forsyth",36.026,-80.342,1,2018,35,NA
"2018-01-31","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2018,NA,31
"2018-01-31","Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2018,26,NA
"2018-01-31","West Johnston Co.","Johnston",35.59095,-78.4622,1,2018,22,NA
"2018-02-01","Castle Hayne","New Hanover",34.364167,-77.838611,2,2018,15,NA
"2018-02-02","Millbrook School","Wake",35.856111,-78.574167,2,2018,25,NA
"2018-02-04","Frying Pan Mountain","Haywood",35.379167,-82.7925,2,2018,2,NA
"2018-02-04","Leggett","Edgecombe",35.988278,-77.5843,2,2018,13,NA
"2018-02-04","Millbrook School","Wake",35.856111,-78.574167,2,2018,15,NA
"2018-02-05","Bryson City","Swain",35.434767,-83.442133,2,2018,25,NA
"2018-02-06","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,36,NA
"2018-02-06","Hattie Avenue","Forsyth",36.110693332,-80.2264378,2,2018,37,NA
"2018-02-06","Millbrook School","Wake",35.856111,-78.574167,2,2018,NA,32
"2018-02-10","Durham Armory","Durham",36.0329550008979,-78.904037,2,2018,42,NA
"2018-02-10","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2,2018,23,NA
"2018-02-13","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,30,NA
"2018-02-13","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,20,32
"2018-02-13","Mendenhall School","Guilford",36.1090060008986,-79.802314,2,2018,26,NA
"2018-02-13","West Johnston Co.","Johnston",35.59095,-78.4622,2,2018,34,NA
"2018-02-14","Castle Hayne","New Hanover",34.364167,-77.838611,2,2018,15,NA
"2018-02-14","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2,2018,36,NA
"2018-02-15","Millbrook School","Wake",35.856111,-78.574167,2,2018,32,NA
"2018-02-17","Leggett","Edgecombe",35.988278,-77.5843,2,2018,13,NA
"2018-02-18","Bryson City","Swain",35.434767,-83.442133,2,2018,7,NA
"2018-02-19","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,31,NA
"2018-02-19","Hattie Avenue","Forsyth",36.110693332,-80.2264378,2,2018,46,NA
"2018-02-19","Linville Falls","Avery",35.972347,-81.933072,2,2018,13,NA
"2018-02-19","Millbrook School","Wake",35.856111,-78.574167,2,2018,NA,23
"2018-02-23","Durham Armory","Durham",36.0329550008979,-78.904037,2,2018,45,NA
"2018-02-25","Durham Armory","Durham",36.0329550008979,-78.904037,2,2018,26,NA
"2018-02-26","Clemmons Middle","Forsyth",36.026,-80.342,2,2018,19,NA
"2018-02-26","Mendenhall School","Guilford",36.1090060008986,-79.802314,2,2018,19,NA
"2018-02-26","West Johnston Co.","Johnston",35.59095,-78.4622,2,2018,18,NA
"2018-02-27","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,2,2018,NA,42
"2018-02-27","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,2,2018,18,NA
"2018-02-28","Castle Hayne","New Hanover",34.364167,-77.838611,2,2018,6,NA
"2018-02-28","Hattie Avenue","Forsyth",36.110693332,-80.2264378,2,2018,38,NA
"2018-02-28","Millbrook School","Wake",35.856111,-78.574167,2,2018,43,NA
"2018-03-01","Castle Hayne","New Hanover",34.364167,-77.838611,3,2018,NA,32
"2018-03-02","Leggett","Edgecombe",35.988278,-77.5843,3,2018,3,NA
"2018-03-03","Bryson City","Swain",35.434767,-83.442133,3,2018,23,NA
"2018-03-03","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,3,2018,NA,44
"2018-03-04","Bryson City","Swain",35.434767,-83.442133,3,2018,NA,42
"2018-03-04","Clemmons Middle","Forsyth",36.026,-80.342,3,2018,NA,46
"2018-03-04","Frying Pan Mountain","Haywood",35.379167,-82.7925,3,2018,NA,47
"2018-03-04","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,3,2018,20,NA
"2018-03-04","Hattie Avenue","Forsyth",36.110693332,-80.2264378,3,2018,16,NA
"2018-03-04","Millbrook School","Wake",35.856111,-78.574167,3,2018,NA,43
"2018-03-05","Linville Falls","Avery",35.972347,-81.933072,3,2018,NA,44
"2018-03-07","Mendenhall School","Guilford",36.1090060008986,-79.802314,3,2018,NA,35
"2018-03-08","Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,27,NA
"2018-03-09","West Johnston Co.","Johnston",35.59095,-78.4622,3,2018,NA,43
"2018-03-10","Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,NA,18
"2018-03-10","Leggett","Edgecombe",35.988278,-77.5843,3,2018,NA,37
"2018-03-11","Clemmons Middle","Forsyth",36.026,-80.342,3,2018,70,NA
"2018-03-11","Mendenhall School","Guilford",36.1090060008986,-79.802314,3,2018,60,NA
"2018-03-11","West Johnston Co.","Johnston",35.59095,-78.4622,3,2018,55,NA
"2018-03-12","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,3,2018,NA,34
"2018-03-12","Hattie Avenue","Forsyth",36.110693332,-80.2264378,3,2018,NA,40
"2018-03-12","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,3,2018,24,NA
"2018-03-13","Castle Hayne","New Hanover",34.364167,-77.838611,3,2018,20,NA
"2018-03-13","Millbrook School","Wake",35.856111,-78.574167,3,2018,31,NA
"2018-03-15","Leggett","Edgecombe",35.988278,-77.5843,3,2018,29,NA
"2018-03-15","Millbrook School","Wake",35.856111,-78.574167,3,2018,29,NA
"2018-03-16","Bryson City","Swain",35.434767,-83.442133,3,2018,66,NA
"2018-03-16","Castle Hayne","New Hanover",34.364167,-77.838611,3,2018,NA,71
"2018-03-16","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,3,2018,NA,51
"2018-03-17","Bryson City","Swain",35.434767,-83.442133,3,2018,NA,44
"2018-03-17","Clemmons Middle","Forsyth",36.026,-80.342,3,2018,NA,51
"2018-03-17","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,3,2018,50,NA
"2018-03-17","Hattie Avenue","Forsyth",36.110693332,-80.2264378,3,2018,41,NA
"2018-03-18","Millbrook School","Wake",35.856111,-78.574167,3,2018,NA,44
"2018-03-19","Linville Falls","Avery",35.972347,-81.933072,3,2018,NA,43
"2018-03-20","Mendenhall School","Guilford",36.1090060008986,-79.802314,3,2018,NA,34
"2018-03-21","Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,23,NA
"2018-03-21","Hattie Avenue","Forsyth",36.110693332,-80.2264378,3,2018,11,NA
"2018-03-21","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,3,2018,7,NA
"2018-03-22","West Johnston Co.","Johnston",35.59095,-78.4622,3,2018,NA,42
"2018-03-23","Durham Armory","Durham",36.0329550008979,-78.904037,3,2018,NA,47
"2018-03-23","Leggett","Edgecombe",35.988278,-77.5843,3,2018,NA,47
"2018-03-24","Clemmons Middle","Forsyth",36.026,-80.342,3,2018,42,NA
"2018-03-24","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,3,2018,32,NA
"2018-03-24","Mendenhall School","Guilford",36.1090060008986,-79.802314,3,2018,39,NA
"2018-03-24","West Johnston Co.","Johnston",35.59095,-78.4622,3,2018,38,NA
"2018-03-25","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,3,2018,NA,44
"2018-03-25","Hattie Avenue","Forsyth",36.110693332,-80.2264378,3,2018,NA,49
"2018-03-25","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,3,2018,18,NA
"2018-03-26","Castle Hayne","New Hanover",34.364167,-77.838611,3,2018,13,NA
"2018-03-26","Millbrook School","Wake",35.856111,-78.574167,3,2018,29,NA
"2018-03-27","Frying Pan Mountain","Haywood",35.379167,-82.7925,3,2018,NA,44
"2018-03-29","Bryson City","Swain",35.434767,-83.442133,3,2018,38,NA
"2018-03-29","Castle Hayne","New Hanover",34.364167,-77.838611,3,2018,NA,44
"2018-03-29","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,3,2018,NA,44
"2018-03-30","Bryson City","Swain",35.434767,-83.442133,3,2018,NA,39
"2018-03-30","Clemmons Middle","Forsyth",36.026,-80.342,3,2018,NA,44
"2018-03-30","Frying Pan Mountain","Haywood",35.379167,-82.7925,3,2018,4,NA
"2018-03-30","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,3,2018,19,NA
"2018-03-30","Hattie Avenue","Forsyth",36.110693332,-80.2264378,3,2018,22,NA
"2018-03-31","Millbrook School","Wake",35.856111,-78.574167,3,2018,NA,45
"2018-04-01","Leggett","Edgecombe",35.988278,-77.5843,4,2018,34,NA
"2018-04-02","Linville Falls","Avery",35.972347,-81.933072,4,2018,25,NA
"2018-04-02","Mendenhall School","Guilford",36.1090060008986,-79.802314,4,2018,NA,54
"2018-04-04","Linville Falls","Avery",35.972347,-81.933072,4,2018,NA,44
"2018-04-04","West Johnston Co.","Johnston",35.59095,-78.4622,4,2018,NA,44
"2018-04-05","Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,19,45
"2018-04-06","Clemmons Middle","Forsyth",36.026,-80.342,4,2018,43,NA
"2018-04-06","West Johnston Co.","Johnston",35.59095,-78.4622,4,2018,48,NA
"2018-04-07","Hattie Avenue","Forsyth",36.110693332,-80.2264378,4,2018,NA,44
"2018-04-07","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,4,2018,25,NA
"2018-04-08","Castle Hayne","New Hanover",34.364167,-77.838611,4,2018,9,NA
"2018-04-08","Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,32,NA
"2018-04-08","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,4,2018,NA,44
"2018-04-08","Mendenhall School","Guilford",36.1090060008986,-79.802314,4,2018,15,NA
"2018-04-08","Millbrook School","Wake",35.856111,-78.574167,4,2018,28,NA
"2018-04-09","Leggett","Edgecombe",35.988278,-77.5843,4,2018,NA,39
"2018-04-09","Millbrook School","Wake",35.856111,-78.574167,4,2018,33,NA
"2018-04-11","Bryson City","Swain",35.434767,-83.442133,4,2018,27,NA
"2018-04-11","Castle Hayne","New Hanover",34.364167,-77.838611,4,2018,NA,48
"2018-04-11","Frying Pan Mountain","Haywood",35.379167,-82.7925,4,2018,NA,46
"2018-04-12","Bryson City","Swain",35.434767,-83.442133,4,2018,NA,54
"2018-04-12","Clemmons Middle","Forsyth",36.026,-80.342,4,2018,NA,71
"2018-04-12","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,4,2018,51,NA
"2018-04-12","Hattie Avenue","Forsyth",36.110693332,-80.2264378,4,2018,59,NA
"2018-04-13","Millbrook School","Wake",35.856111,-78.574167,4,2018,NA,51
"2018-04-14","Leggett","Edgecombe",35.988278,-77.5843,4,2018,29,NA
"2018-04-14","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,4,2018,NA,45
"2018-04-15","Mendenhall School","Guilford",36.1090060008986,-79.802314,4,2018,NA,36
"2018-04-17","Hattie Avenue","Forsyth",36.110693332,-80.2264378,4,2018,17,NA
"2018-04-17","West Johnston Co.","Johnston",35.59095,-78.4622,4,2018,NA,47
"2018-04-18","Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,NA,58
"2018-04-18","Linville Falls","Avery",35.972347,-81.933072,4,2018,NA,77
"2018-04-19","Clemmons Middle","Forsyth",36.026,-80.342,4,2018,37,NA
"2018-04-19","West Johnston Co.","Johnston",35.59095,-78.4622,4,2018,33,NA
"2018-04-20","Hattie Avenue","Forsyth",36.110693332,-80.2264378,4,2018,NA,67
"2018-04-20","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,4,2018,21,NA
"2018-04-21","Castle Hayne","New Hanover",34.364167,-77.838611,4,2018,7,NA
"2018-04-21","Durham Armory","Durham",36.0329550008979,-78.904037,4,2018,38,NA
"2018-04-21","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,4,2018,NA,71
"2018-04-21","Mendenhall School","Guilford",36.1090060008986,-79.802314,4,2018,30,NA
"2018-04-21","Millbrook School","Wake",35.856111,-78.574167,4,2018,45,NA
"2018-04-22","Millbrook School","Wake",35.856111,-78.574167,4,2018,29,NA
"2018-04-23","Millbrook School","Wake",35.856111,-78.574167,4,2018,20,NA
"2018-04-24","Bryson City","Swain",35.434767,-83.442133,4,2018,9,NA
"2018-04-24","Castle Hayne","New Hanover",34.364167,-77.838611,4,2018,NA,54
"2018-04-24","Frying Pan Mountain","Haywood",35.379167,-82.7925,4,2018,NA,45
"2018-04-25","Bryson City","Swain",35.434767,-83.442133,4,2018,NA,37
"2018-04-25","Clemmons Middle","Forsyth",36.026,-80.342,4,2018,NA,40
"2018-04-25","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,4,2018,15,NA
"2018-04-25","Leggett","Edgecombe",35.988278,-77.5843,4,2018,NA,34
"2018-04-26","Millbrook School","Wake",35.856111,-78.574167,4,2018,NA,44
"2018-04-27","Leggett","Edgecombe",35.988278,-77.5843,4,2018,26,NA
"2018-04-27","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,4,2018,NA,48
"2018-04-29","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,4,2018,25,NA
"2018-04-30","West Johnston Co.","Johnston",35.59095,-78.4622,4,2018,NA,51
"2018-05-01","Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,NA,64
"2018-05-01","Hattie Avenue","Forsyth",36.110693332,-80.2264378,5,2018,43,NA
"2018-05-01","Linville Falls","Avery",35.972347,-81.933072,5,2018,NA,80
"2018-05-01","Mendenhall School","Guilford",36.1090060008986,-79.802314,5,2018,NA,80
"2018-05-02","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,5,2018,40,NA
"2018-05-02","West Johnston Co.","Johnston",35.59095,-78.4622,5,2018,47,NA
"2018-05-03","Hattie Avenue","Forsyth",36.110693332,-80.2264378,5,2018,NA,74
"2018-05-03","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,5,2018,28,NA
"2018-05-04","Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,39,NA
"2018-05-04","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,5,2018,NA,47
"2018-05-04","Mendenhall School","Guilford",36.1090060008986,-79.802314,5,2018,43,NA
"2018-05-04","Millbrook School","Wake",35.856111,-78.574167,5,2018,40,NA
"2018-05-05","Castle Hayne","New Hanover",34.364167,-77.838611,5,2018,8,NA
"2018-05-07","Bryson City","Swain",35.434767,-83.442133,5,2018,33,NA
"2018-05-08","Castle Hayne","New Hanover",34.364167,-77.838611,5,2018,NA,35
"2018-05-08","Clemmons Middle","Forsyth",36.026,-80.342,5,2018,NA,71
"2018-05-08","Frying Pan Mountain","Haywood",35.379167,-82.7925,5,2018,14,NA
"2018-05-08","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,5,2018,31,NA
"2018-05-09","Bryson City","Swain",35.434767,-83.442133,5,2018,NA,47
"2018-05-09","Frying Pan Mountain","Haywood",35.379167,-82.7925,5,2018,NA,80
"2018-05-09","Leggett","Edgecombe",35.988278,-77.5843,5,2018,NA,25
"2018-05-09","Millbrook School","Wake",35.856111,-78.574167,5,2018,NA,58
"2018-05-10","Leggett","Edgecombe",35.988278,-77.5843,5,2018,38,NA
"2018-05-10","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,5,2018,NA,64
"2018-05-11","Clemmons Middle","Forsyth",36.026,-80.342,5,2018,52,NA
"2018-05-11","Linville Falls","Avery",35.972347,-81.933072,5,2018,35,NA
"2018-05-11","Millbrook School","Wake",35.856111,-78.574167,5,2018,55,NA
"2018-05-13","West Johnston Co.","Johnston",35.59095,-78.4622,5,2018,NA,58
"2018-05-14","Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,53,NA
"2018-05-14","Hattie Avenue","Forsyth",36.110693332,-80.2264378,5,2018,62,NA
"2018-05-14","Linville Falls","Avery",35.972347,-81.933072,5,2018,NA,50
"2018-05-14","Mendenhall School","Guilford",36.1090060008986,-79.802314,5,2018,NA,87
"2018-05-15","Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,NA,25
"2018-05-15","West Johnston Co.","Johnston",35.59095,-78.4622,5,2018,32,NA
"2018-05-16","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,5,2018,24,NA
"2018-05-17","Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,17,NA
"2018-05-17","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,5,2018,NA,31
"2018-05-17","Hattie Avenue","Forsyth",36.110693332,-80.2264378,5,2018,NA,29
"2018-05-17","Millbrook School","Wake",35.856111,-78.574167,5,2018,15,NA
"2018-05-18","Castle Hayne","New Hanover",34.364167,-77.838611,5,2018,0,NA
"2018-05-20","Bryson City","Swain",35.434767,-83.442133,5,2018,38,NA
"2018-05-21","Clemmons Middle","Forsyth",36.026,-80.342,5,2018,NA,42
"2018-05-21","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,5,2018,23,NA
"2018-05-21","Mendenhall School","Guilford",36.1090060008986,-79.802314,5,2018,33,NA
"2018-05-22","Bryson City","Swain",35.434767,-83.442133,5,2018,NA,25
"2018-05-22","Millbrook School","Wake",35.856111,-78.574167,5,2018,NA,27
"2018-05-23","Castle Hayne","New Hanover",34.364167,-77.838611,5,2018,NA,29
"2018-05-23","Leggett","Edgecombe",35.988278,-77.5843,5,2018,27,NA
"2018-05-23","Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,5,2018,NA,36
"2018-05-24","Clemmons Middle","Forsyth",36.026,-80.342,5,2018,38,NA
"2018-05-24","Millbrook School","Wake",35.856111,-78.574167,5,2018,33,NA
"2018-05-25","Frying Pan Mountain","Haywood",35.379167,-82.7925,5,2018,NA,30
"2018-05-26","Leggett","Edgecombe",35.988278,-77.5843,5,2018,NA,24
"2018-05-26","West Johnston Co.","Johnston",35.59095,-78.4622,5,2018,NA,24
"2018-05-27","Hattie Avenue","Forsyth",36.110693332,-80.2264378,5,2018,30,NA
"2018-05-27","Linville Falls","Avery",35.972347,-81.933072,5,2018,NA,31
"2018-05-27","Mendenhall School","Guilford",36.1090060008986,-79.802314,5,2018,NA,26
"2018-05-28","Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,NA,18
"2018-05-28","West Johnston Co.","Johnston",35.59095,-78.4622,5,2018,18,NA
"2018-05-30","Durham Armory","Durham",36.0329550008979,-78.904037,5,2018,11,NA
"2018-05-30","Garinger High School","Mecklenburg",35.2401000008895,-80.785683,5,2018,NA,28
"2018-05-30","Hattie Avenue","Forsyth",36.110693332,-80.2264378,5,2018,NA,28
"2018-05-30","Millbrook School","Wake",35.856111,-78.574167,5,2018,21,NA
